Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Ranking,Trend,Wins,Losses,Total PF
Henry,145.08,117.7,27.38,74.52,19.9,1,0,8,2,1280.28
Kai,157.88,112.7,45.18,28.1,0.0,2,3,6,4,1209.22
Finn,134.98,114.4,20.58,91.34,35.0,3,3,6,4,1173.94
Will,121.74,130.3,-8.56,34.7,18.0,4,-2,5,5,1240.26
Connor,97.14,107.1,-9.96,29.84,9.6,5,-2,5,5,1202.06
Matt,101.6,125.9,-24.3,46.58,15.68,6,2,5,5,1187.0
Justin,83.28,122.6,-39.32,50.06,14.98,7,-3,5,5,1160.04
Frink,96.94,120.4,-23.46,40.5,21.6,8,1,5,5,1101.96
Shane,111.44,119.4,-7.96,20.5,4.0,9,-2,5,5,1073.62
Fricke,128.78,110.7,18.08,79.6,39.12,10,1,4,6,1146.52
Nathan,131.54,109.7,21.84,55.7,15.4,11,-1,4,6,1136.08
Dylan,94.82,114.4,-19.58,47.64,31.02,12,0,2,8,1000.64
