Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player3,140.86,126.9,13.96,31.4,10.3,2,0,277.94,1,2
Player6,141.84,121.9,19.94,68.9,5.3,2,0,273.92,2,2
Player10,122.34,125.0,-2.66,27.3,1.7,2,0,263.5,3,-2
Player1,165.14,110.8,54.34,21.06,1.1,1,1,291.58,4,3
Player2,122.84,124.6,-1.76,78.6,18.6,1,1,222.14,5,5
Player8,139.04,123.2,15.84,44.28,9.0,1,1,219.62,6,5
Player12,102.52,125.9,-23.38,68.48,13.7,1,1,219.44,7,-2
Player11,118.92,114.9,4.02,26.5,0.3,1,1,219.18,8,-2
Player4,79.86,108.2,-28.34,46.14,19.08,1,1,217.64,9,-7
Player5,100.5,119.6,-19.1,45.02,6.5,0,2,212.16,10,-1
Player9,86.7,123.3,-36.6,59.7,23.9,0,2,198.96,11,-3
Player7,110.48,109.5,0.98,31.36,8.2,0,2,188.4,12,0
